date,start time,end time,division,team
1/6/2023,-,-,ALL,St. Philip
1/6/2023,-,-,ALL,St. Philip A
1/6/2023,-,-,ALL,St. Philip B
1/6/2023,-,-,5/6G,St. Isidore A
1/7/2023,-,-,ALL,St. Philip
1/7/2023,-,-,ALL,St. Philip A
1/7/2023,-,-,ALL,St. Philip B
1/11/2023,-,-,ALL,St. John Vianney
1/11/2023,-,-,5/6G,St. Isidore A
1/12/2023,-,-,ALL,St. John Vianney
1/12/2023,-,-,5/6G,St. Isidore A
1/13/2023,-,-,7/8B South,St. Isidore
1/13/2023,-,-,ALL,St. John Vianney
1/13/2023,-,-,5/6G,St. Isidore A
1/14/2023,-,-,7/8B South,St. Isidore
1/19/2023,-,-,5/6G,St. Isidore A
1/20/2023,-,-,ALL,St. John Vianney
1/20/2023,-,-,5/6G,St. Isidore A
1/21/2023,-,-,7/8B South,St. Philip A
1/21/2023,-,-,7/8B North,St. Philip B
1/21/2023,-,-,ALL,St. Walter A
1/21/2023,-,-,ALL,St. Walter B
1/21/2023,-,-,ALL,St. Walter C
1/21/2023,-,-,ALL,St. Isidore
1/21/2023,-,-,ALL,St. Isidore A
1/21/2023,-,-,ALL,St. Isidore B
1/21/2023,-,-,ALL,St. James
1/21/2023,-,-,ALL,St. James A
1/21/2023,-,-,ALL,St. James B
1/25/2023,-,-,ALL,St. John Vianney
1/25/2023,-,-,5/6G,St. Isidore A
1/26/2023,-,-,5/6G,St. Isidore A
1/27/2023,-,-,ALL,St. John Vianney
1/27/2023,-,-,ALL,Holy Trinity
1/27/2023,-,-,5/6G,St. Isidore A
1/28/2023,-,-,7/8G,Queen of the Rosary
1/28/2023,-,-,7/8B North,Queen of the Rosary
1/28/2023,-,-,7/8B South,St. Philip A
1/28/2023,-,-,7/8B North,St. Philip B
2/1/2023,-,-,5/6G,St. Isidore A
2/2/2023,-,-,ALL,SJE
2/2/2023,-,-,ALL,SJE A
2/2/2023,-,-,ALL,SJE B
2/2/2023,-,-,5/6G,St. Isidore A
2/3/2023,-,-,ALL,St. John Vianney
2/3/2023,-,-,5/6G,St. Isidore A
2/4/2023,-,-,ALL,St. James
2/4/2023,-,-,ALL,St. James A
2/4/2023,-,-,ALL,St. James B
2/4/2023,-,-,7/8B South,St. Philip A
2/4/2023,-,-,7/8B North,St. Philip B
2/9/2023,-,-,7/8G,Queen of the Rosary
2/9/2023,-,-,7/8B North,Queen of the Rosary
2/9/2023,-,-,5/6G,St. Isidore A
2/10/2023,-,-,ALL,St. James
2/10/2023,-,-,ALL,St. James A
2/10/2023,-,-,ALL,St. James B
2/10/2023,-,-,7/8G,Queen of the Rosary
2/10/2023,-,-,7/8B North,Queen of the Rosary
2/10/2023,-,-,ALL,St. John Vianney
2/10/2023,-,-,5/6G,St. Isidore A
2/11/2023,-,-,7/8G,Queen of the Rosary
2/11/2023,-,-,7/8B North,Queen of the Rosary
2/11/2023,-,-,ALL,St. John Vianney
2/15/2023,-,-,5/6G,St. Isidore A
2/16/2023,-,-,ALL,St. James
2/16/2023,-,-,ALL,St. James A
2/16/2023,-,-,ALL,St. James B
2/16/2023,-,-,5/6G,St. Isidore A
2/17/2023,-,-,5/6G,St. Isidore A
2/18/2023,-,-,7/8G,Holy Trinity
2/23/2023,-,-,5/6G,St. Isidore A
2/24/2023,-,-,ALL,St. Philip
2/24/2023,-,-,ALL,St. Philip A
2/24/2023,-,-,ALL,St. Philip B
2/24/2023,-,-,ALL,Holy Trinity
2/24/2023,-,-,5/6G,St. Isidore A
2/27/2023,-,-,ALL,Holy Trinity
3/2/2023,-,-,5/6G,St. Isidore A
3/3/2023,-,-,5/6G,St. Isidore A
3/8/2023,-,-,7/8G,ALL
3/8/2023,-,-,7/8B South,ALL
3/8/2023,-,-,7/8B North,ALL
3/9/2023,-,-,7/8G,ALL
3/9/2023,-,-,7/8B South,ALL
3/9/2023,-,-,7/8B North,ALL
3/9/2023,-,-,ALL,St. James
3/9/2023,-,-,ALL,St. James A
3/9/2023,-,-,ALL,St. James B
3/10/2023,-,-,7/8G,ALL
3/10/2023,-,-,7/8B South,ALL
3/10/2023,-,-,7/8B North,ALL
3/10/2023,-,-,ALL,St. James
3/10/2023,-,-,ALL,St. James A
3/10/2023,-,-,ALL,St. James B
3/10/2023,-,-,ALL,St. Philip
3/10/2023,-,-,ALL,St. Philip A
3/10/2023,-,-,ALL,St. Philip B
3/10/2023,-,-,ALL,Holy Trinity
3/11/2023,-,-,7/8G,ALL
3/11/2023,-,-,7/8B South,ALL
3/11/2023,-,-,7/8B North,ALL
