division,team,home location
5/6G,St. Isidore A,St. Isidore
5/6G,St. Isidore B,St. Isidore
5/6G,St. James,St. James
5/6G,SJE,SJE
5/6G,St. John Vianney,St. John Vianney
5/6G,St. Philip,St. Philip
5/6G,St. Walter A,St. Walter
5/6G,St. Walter B,St. Walter
5/6G,St. Walter C,St. Walter
5/6B,SJE,SJE
5/6B,St. Isidore,St. Isidore
5/6B,St. James A,St. James
5/6B,St. James B,St. James
5/6B,St. Matthew,St. Matthew
5/6B,St. Philip A,St. Philip
5/6B,St. Philip B,St. Philip
5/6B,St. Walter A,St. Walter
5/6B,St. Walter B,St. Walter
5/6B,St. Walter C,St. Walter
7/8G,Holy Trinity,Holy Trinity
7/8G,Queen of the Rosary,Queen of the Rosary
7/8G,St. Isidore,St. Isidore
7/8G,St. James,St. James
7/8G,SJE A,SJE
7/8G,SJE B,SJE
7/8G,St. John Vianney,St. John Vianney
7/8G,St. Walter A,St. Walter
7/8G,St. Walter B,St. Walter
7/8B South,St. Isidore,St. Isidore
7/8B South,SJE A,SJE
7/8B South,St. John Vianney,St. John Vianney
7/8B South,St. Philip A,St. Philip
7/8B South,St. Walter A,St. Walter
7/8B South,St. Walter B,St. Walter
7/8B North,Holy Trinity,Holy Trinity
7/8B North,Queen of the Rosary,Queen of the Rosary
7/8B North,SJE B,SJE
7/8B North,St. James,St. James
7/8B North,St. Matthew,St. Matthew
7/8B North,St. Philip B,St. Philip
7/8B North,St. Walter C,St. Walter
