Goals:

    [x] Back-to-back:
        - 5/6B  St. John Vianney
        - 5/6G  St. John Vianney
    [x] Back-to-back:
        - 7/8G  St. John Vianney
        - 7/8B  St. John Vianney A
    [x] Back-to-back:
        - 5/6G  St. Walter A
        - 7/8G  St. Walter B
    [x] Back-to-back:
        - 5/6G  St. Walter B
        - 5/6B  St. Walter B

========================================

date,time,location,division,team a,team b

# Condition 1

1/10/2025,6:00PM,St. Philip,5/6G,St. John Vianney,St. Philip
1/10/2025,7:00PM,St. Philip,5/6B,St. John Vianney,St. Philip A

1/11/2025,11:00AM,St. John Vianney,5/6B,St. John Vianney,SJE A
1/11/2025,12:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)

1/17/2025,6:00PM,St. Philip,5/6G,St. John Vianney,St. Philip
1/17/2025,7:00PM,St. Philip,5/6B,St. John Vianney,St. Philip B

1/24/2025,7:00PM,St. Walter,5/6G,St. John Vianney,St. Walter B,(2x constrained)
1/24/2025,8:00PM,St. Walter,5/6B,St. John Vianney,St. Walter A

1/30/2025,5:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter B,(2x constrained)
1/30/2025,6:00PM,St. John Vianney,5/6B,St. John Vianney,St. Walter B,(2x constrained)

2/3/2025,5:00PM,St. John Vianney,5/6B,Holy Trinity,St. John Vianney
2/3/2025,6:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)

2/8/2025,11:00AM,Christ the King,5/6B,Holy Trinity,St. John Vianney
2/8/2025,12:00PM,Christ the King,5/6G,St. Isidore,St. John Vianney

2/13/2025,5:00PM,St. John Vianney,5/6G,St. Isidore,St. John Vianney
2/13/2025,6:00PM,St. John Vianney,5/6B,St. John Vianney,St. Philip A

2/21/2025,7:00PM,St. Walter,5/6G,St. John Vianney,St. Walter B,(2x constrained)
2/21/2025,8:00PM,St. Walter,5/6B,St. John Vianney,St. Walter A

2/28/2025,5:00PM,St. John Vianney,5/6B,St. John Vianney,SJE B
2/28/2025,6:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)

3/6/2025,5:30PM,St. Isidore,5/6G,St. Isidore,St. John Vianney
3/6/2025,6:30PM,St. Isidore,5/6B,St. Isidore,St. John Vianney

3/8/2025,1:00PM,St. John Vianney,5/6G,St. John Vianney,St. Philip
3/8/2025,2:00PM,St. John Vianney,5/6B,St. John Vianney,St. Philip B

# Condition 2

1/10/2025,7:30PM,St. Isidore,7/8G,St. Isidore,St. John Vianney
1/10/2025,8:30PM,St. Isidore,7/8B,St. Isidore A,St. John Vianney A

1/11/2025,1:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)
1/11/2025,2:00PM,St. John Vianney,7/8B,St. John Vianney A,St. John Vianney B

1/17/2025,7:30PM,St. Isidore,7/8G,St. Isidore,St. John Vianney
1/17/2025,8:30PM,St. Isidore,7/8B,St. Isidore A,St. John Vianney A

1/24/2025,7:00PM,Eastview Middle School,7/8G,St. John Vianney,SJE A
1/24/2025,8:00PM,Eastview Middle School,7/8B,St. John Vianney A,SJE

1/25/2025,1:00PM,St. John Vianney,7/8G,St. John Vianney,SJE A
1/25/2025,2:00PM,St. John Vianney,7/8B,St. John Vianney A,St. John Vianney B

1/31/2025,6:00PM,St. John Vianney,7/8B,St. Isidore A,St. John Vianney A
1/31/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,SJE B

2/3/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)
2/3/2025,8:00PM,St. John Vianney,7/8B,St. John Vianney A,St. Philip B

2/6/2025,6:30PM,St. Isidore,7/8G,St. Isidore,St. John Vianney
2/6/2025,7:30PM,St. Isidore,7/8B,St. Isidore B,St. John Vianney A

2/11/2025,7:00PM,St. Walter,7/8B,St. John Vianney A,St. Walter B
2/11/2025,8:00PM,St. Walter,7/8G,St. John Vianney,St. Walter A

2/13/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,SJE B
2/13/2025,8:00PM,St. John Vianney,7/8B,St. John Vianney A,St. Philip B

2/19/2025,5:00PM,St. John Vianney,7/8G,St. John Vianney,SJE A
2/19/2025,6:00PM,St. John Vianney,7/8B,St. John Vianney A,St. Philip A

2/22/2025,10:30AM,St. Walter,7/8G,St. John Vianney,St. Walter A
2/22/2025,11:30AM,St. Walter,7/8B,St. John Vianney A,St. Walter A

2/27/2025,7:00PM,St. Walter,7/8B,St. John Vianney A,St. Walter A
2/27/2025,8:00PM,St. Walter,7/8G,St. John Vianney,St. Walter A

2/28/2025,7:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)
2/28/2025,8:00PM,St. John Vianney,7/8B,St. John Vianney A,St. Philip A

# Condition 3

1/11/2025,12:00PM,St. John Vianney,5/6G,St. John Vianney,St. Walter A,(2x constrained)
1/11/2025,1:00PM,St. John Vianney,7/8G,St. John Vianney,St. Walter B,(2x constrained)

1/18/2025,10:30AM,St. Walter,5/6G,St. Philip,St. Walter A
1/18/2025,11:30AM,St. Walter,7/8G,SJE B,St. Walter B

1/23/2025,5:30PM,St. Isidore,5/6G,St. Isidore,St. Walter A
1/23/2025,6:30PM,St. Isidore,7/8G,St. Isidore,St. Walter B

