date,start time,end time,division,team
9/8/2022,-,-,ALL,St. Walter A
9/8/2022,-,-,ALL,St. Walter B
9/8/2022,-,-,ALL,St. Walter C
9/9/2022,-,-,ALL,St. John Vianney
9/10/2022,8:00AM,12:00PM,ALL,Holy Trinity
9/10/2022,-,-,ALL,St. John Vianney
9/12/2022,-,-,ALL,St. Walter A
9/12/2022,-,-,ALL,St. Walter B
9/12/2022,-,-,ALL,St. Walter C
9/17/2022,8:00AM,12:00PM,ALL,Holy Trinity
9/17/2022,-,-,ALL,St. John Vianney
9/17/2022,-,-,7/8G,St. Walter A
9/17/2022,-,-,7/8B,St. Walter A
9/17/2022,-,-,7/8G,St. Walter B
9/17/2022,-,-,7/8B,St. Walter B
9/17/2022,-,-,7/8G,St. Walter C
9/17/2022,-,-,7/8B,St. Walter C
9/24/2022,8:00AM,12:00PM,ALL,Holy Trinity
9/24/2022,-,-,7/8G,St. Walter A
9/24/2022,-,-,7/8B,St. Walter A
9/24/2022,-,-,7/8G,St. Walter B
9/24/2022,-,-,7/8B,St. Walter B
9/24/2022,-,-,7/8G,St. Walter C
9/24/2022,-,-,7/8B,St. Walter C
9/29/2022,-,-,ALL,St. John Vianney
10/1/2022,8:00AM,12:00PM,ALL,Holy Trinity
10/1/2022,-,-,7/8G,St. Matthew
10/3/2022,-,-,7/8G,Holy Trinity
10/5/2022,-,-,7/8B,St. Philip
10/5/2022,-,-,7/8G,St. Philip
10/8/2022,8:00AM,12:00PM,ALL,Holy Trinity
10/15/2022,-,-,7/8G,Holy Trinity
10/18/2022,-,-,5/6G,SJE
10/18/2022,-,-,5/6B,SJE
10/19/2022,-,-,5/6G,SJE
10/19/2022,-,-,5/6B,SJE
10/21/2022,-,-,ALL,St. Walter
10/22/2022,-,-,7/8G,Holy Trinity
11/2/2022,-,-,7/8B,St. Philip
11/2/2022,-,-,7/8G,St. Philip
