division,team,home location
5/6G,St. Walter A,St. Walter
5/6G,St. Walter B,St. Walter
5/6G,Holy Trinity,NONE
5/6G,St. Isidore,St. Isidore
5/6G,SJE,NONE
5/6G,St. Philip A,St. Philip
5/6G,St. Philip B,St. Philip
5/6B,St. Walter A,St. Walter
5/6B,St. Walter B,St. Walter
5/6B,St. Isidore,St. Isidore
5/6B,SJE,NONE
5/6B,St. Philip,St. Philip
7/8G,St. Walter A,St. Walter
7/8G,St. Walter B,St. Walter
7/8G,St. Walter C,St. Walter
7/8G,St. John Vianney,St. John Vianney
7/8G,St. Matthew,St. Matthew
7/8G,Holy Trinity,NONE
7/8G,St. Isidore,St. Isidore
7/8G,SJE A,NONE
7/8G,SJE B,NONE
7/8G,St. Philip,St. Philip
7/8B,St. Walter A,St. Walter
7/8B,St. Walter B,St. Walter
7/8B,St. Walter C,St. Walter
7/8B,St. Isidore,St. Isidore
7/8B,SJE A,NONE
7/8B,SJE B,NONE
7/8B,St. Philip,St. Philip
