date,time,location
9/3/2025,5:45PM,St. John Vianney
9/3/2025,6:30PM,St. John Vianney
9/3/2025,7:15PM,St. John Vianney
9/3/2025,8:00PM,St. John Vianney
9/4/2025,5:45PM,St. John Vianney
9/4/2025,6:30PM,St. John Vianney
9/4/2025,7:15PM,St. John Vianney
9/4/2025,8:00PM,St. John Vianney
9/5/2025,6:00PM,Eastview Middle School
9/5/2025,6:45PM,Eastview Middle School
9/5/2025,7:30PM,Eastview Middle School
9/5/2025,6:00PM,St. Philip the Apostle
9/5/2025,6:45PM,St. Philip the Apostle
9/5/2025,7:30PM,St. Philip the Apostle
9/5/2025,5:45PM,St. John Vianney
9/5/2025,6:30PM,St. John Vianney
9/5/2025,7:15PM,St. John Vianney
9/5/2025,8:00PM,St. John Vianney
9/5/2025,6:00PM,St. Walter
9/5/2025,6:45PM,St. Walter
9/5/2025,7:30PM,St. Walter
9/5/2025,8:15PM,St. Walter
9/6/2025,9:00AM,St. Walter
9/6/2025,9:45AM,St. Walter
9/6/2025,10:30AM,St. Walter
9/6/2025,11:15AM,St. Walter
9/6/2025,12:00PM,St. Walter
9/8/2025,5:45PM,St. John Vianney
9/8/2025,6:30PM,St. John Vianney
9/8/2025,7:15PM,St. John Vianney
9/8/2025,8:00PM,St. John Vianney
9/9/2025,5:45PM,St. John Vianney
9/9/2025,6:30PM,St. John Vianney
9/9/2025,7:15PM,St. John Vianney
9/9/2025,8:00PM,St. John Vianney
9/11/2025,5:45PM,St. John Vianney
9/11/2025,6:30PM,St. John Vianney
9/11/2025,7:15PM,St. John Vianney
9/11/2025,8:00PM,St. John Vianney
9/12/2025,6:00PM,Eastview Middle School
9/12/2025,6:45PM,Eastview Middle School
9/12/2025,7:30PM,Eastview Middle School
9/12/2025,6:00PM,St. Walter
9/12/2025,6:45PM,St. Walter
9/12/2025,7:30PM,St. Walter
9/12/2025,8:15PM,St. Walter
9/13/2025,9:00AM,St. Philip the Apostle
9/13/2025,9:45AM,St. Philip the Apostle
9/13/2025,10:30AM,St. Philip the Apostle
9/13/2025,9:00AM,St. John Vianney
9/13/2025,9:45AM,St. John Vianney
9/13/2025,10:30AM,St. John Vianney
9/13/2025,11:15AM,St. John Vianney
9/13/2025,12:00PM,St. John Vianney
9/13/2025,12:45PM,St. John Vianney
9/13/2025,9:00AM,St. Walter
9/13/2025,9:45AM,St. Walter
9/13/2025,10:30AM,St. Walter
9/13/2025,11:15AM,St. Walter
9/13/2025,12:00PM,St. Walter
9/15/2025,5:45PM,St. John Vianney
9/15/2025,6:30PM,St. John Vianney
9/15/2025,7:15PM,St. John Vianney
9/15/2025,8:00PM,St. John Vianney
